Ticker (all values in $ billions),"Market Capitalization Growth %, YoY FY 2013","S&P 500 Growth %, YoY FY 2013",Relative Performance to S&P 500,- Cash & Equivalents FY 2012,"- Cash & Equivalents Growth %, YoY FY 2012",+ Preferred & Other FY 2012,"+ Preferred & Other Growth %, YoY FY 2012",+ Total Debt FY 2012,"+ Total Debt Growth %, YoY FY 2012",Net Debt to EBITDA FY 2012,Enterprise Value FY 2012,Enterprise Value to Revenue FY 2012,Enterprise Value to EBITDA FY 2012,Enterprise Value to Free Cash Flow FY 2012,"Enterprise Value Growth %, YoY FY 2012","Revenue, Adj FY 2012","Revenue Growth %, YoY FY 2012","Gross Profit, Adj FY 2012",Gross Margin % FY 2012,"EBITDA, Adj FY 2012",EBITDA Margin % FY 2012,"EBITDA Growth %, YoY FY 2012","Net Income, Adj FY 2012",Net Income Margin % FY 2012,"Net Income Growth %, YoY FY 2012","EPS, Adj FY 2012","EPS Growth %, YoY FY 2012",Cash from Operations FY 2012,"Cash from Operations Growth %, YoY FY 2012",Capital Expenditures FY 2012,"Capital Expenditures Growth %, YoY FY 2012",Free Cash Flow FY 2012,"Free Cash Flow Growth %, YoY FY 2012",Return on Common Equity FY 2012,Return on Assets FY 2012,Return on Capital FY 2012,Return on Invested Capital FY 2012,Operating Margin FY 2012,Sustainable Growth Rate FY 2012,Altman's Z-Score FY 2012,Cash Ratio FY 2012,Current Ratio FY 2012,Quick Ratio FY 2012,CFO/CapEx FY 2012,Weighted Average Cost of Cap FY 2012,Sales per Employee FY 2012,WACC Economic Value Added FY 2012,Asset Turnover FY 2012,Total Debt to Total Equity FY 2012,Price to Sales Ratio FY 2012,R & D Expenditure to Net Sales FY 2012,Total Debts to Total Capital FY 2012,Trailing 12M EBIT Margin FY 2012,Interest Expense FY 2012,EBIT to Interest Expense FY 2012,Price Earnings Ratio (P/E) FY 2012,Total Invested Capital FY 2012,Earnings Yield FY 2012
HOG ,0.379468638,0.296,0.083468638,1203.772,-0.283609767,-188.008,-0.181345932,5102.649,-0.10833676,3.124736124,14751.3366,2.643369006,11.82238741,24.08554508,0.154816954,5580.506,0.050604,2139.883,0.383456805,1247.746,0.223590119,0.145698624,623.925,0.111804378,0.04141282,2.8007,0.112227473,801.458,-0.094695417,-189.002,-0.000174571,612.456,-0.120358029,0.250679,0.066217,0.082742,0.084157,0.179227,0.193755,3.4274,0.8009,2.6951,2.1136,4.2405,0.092931706,871954.0625,-132.9823693,0.592255204,199.5073944,1.98731455,0.024603504,66.61184268,0.179226758,46.033,21.7273695,17.4346593,7680.196,0.057357014
HRS ,0.122106447,0.296,-0.173893553,356,-0.029708367,7.2,-0.28,2047.2,-0.012016795,1.407691027,6391.7689,1.172521949,5.320267105,9.940542613,-0.127196414,5451.3,0.006072,1882,0.34523875,1201.4,0.220387797,-0.004639602,23.3,0.00427421,-0.959876012,8.7486,0.754984955,852.9,0.023766655,-209.9,-0.325730806,643,0.232272901,0.010493,0.005202,0.023911,0.144359,0.172638,0.007837,4.2253,0.2517,1.8385,0.7821,4.0634,0.090478147,358638.1579,175.678492,0.926650575,105.1950054,0.876721149,0.167666428,51.26587033,0.172637719,113.2,8.31360424,4.783619242,4013.1,0.209046738
HCP ,-0.189059254,0.296,-0.485059254,247.673,6.391899958,237.138,-0.508664843,8693.82,0.125760574,5.463812415,29149.4051,15.50525014,18.85674988,44.61488851,0.161272081,1879.97,0.109508,—,0,1545.834,0.822265249,0.220920259,812.289,0.432075512,0.576335819,1.8137,0.133845961,1034.87,0.429060665,-381.514,0.518234058,653.356,0.381673303,0.084222,0.044611,0.046541,0.058793,0.616115,-0.010106,—,—,—,—,2.7125,0.069299155,12617248.32,-549.4880432,0.100737782,80.84433962,10.2583778,#VALUE!,44.70382639,0.616114619,416.172,2.783168978,24.90002222,19447.597,0.040160607
HP ,0.462190859,0.296,0.166190859,96.095,-0.736181042,0,0,235,-0.328571429,0.107084928,5171.1722,1.640703382,3.986570692,-53.12047705,0.19331288,3151.802,0.238968,1013.743,0.321639177,1297.148,0.411557579,0.274238467,581.045,0.184353268,0.338239833,5.1565,0.314260227,1000.332,0.023303108,-1097.68,0.581070025,-97.348,-1.343636158,0.163558,0.108354,0.152546,0.118699,0.288596,0.155016,3.642,0.2521,2.3487,1.88,0.9113,0.144383889,#N/A N/A,47.37796973,0.58774994,6.12777373,1.613569821,0.005095498,5.773958611,0.288596492,8.653,105.1194961,9.232994351,5230.784,0.108307225
SYF ,0,0.296,-0.296,1334,0.123841618,0,0,27815,0.074353032,6.299000951,—,0,0,0,0,10793,0.119838,—,0,4204,0.389511721,0.04110946,2119,0.196330955,0.121164021,3,0,5637,0.021936186,0,0,5637,0.021936186,0.475645,0.040916,0.067683,0.140292,0.335987,0.475645,—,—,—,—,—,0.027941991,#N/A N/A,3553.86159,0.208405341,607.0493234,#N/A N/A,#VALUE!,85.85671513,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,34505,#VALUE!
FTV ,0,0.296,-0.296,—,0,—,0,—,0,0,—,0,0,0,0,5785.3,0,2763,0.477589753,1272.8,0.220005877,0,763.7,0.132006983,0,—,0,944,0,-69.6,0,874.4,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.194942,#VALUE!,—,—,—,—,13.5632,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.060964859,#N/A N/A,0.194942354,0,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!
HSY ,0.346956849,0.296,0.050956849,728.272,0.049858293,11.624,-0.507999661,1906.865,0.009905935,0.892072647,17352.0441,2.611587294,13.13369748,20.75355113,0.146763212,6644.252,0.092663,2859.882,0.43042949,1321.185,0.198846311,0.039655616,660.931,0.099474102,0.05082819,3.2445,0.152329876,1094.827,0.862371931,-258.727,-0.201363744,836.1,2.168173516,0.697896,0.144278,0.253318,0.257633,0.167234,0.327206,7.153,0.495,1.4367,0.8087,4.2316,0.06357041,549111.7355,610.4637251,1.45040397,181.8880303,2.446039061,0.005869735,64.52492151,0.167234476,98.509,11.27965973,22.25891975,2995.976,0.04492581
HRL ,0.49017794,0.296,0.19417794,759.775,0.409059971,5.47,0.691403834,250,0,-0.57655898,7213.4142,0.876406684,8.158420345,18.71290761,-0.053323726,8230.67,0.042505,1331.851,0.161815624,884.168,0.107423575,0.020450136,500.05,0.060754471,0.054523983,0.9232,0.06359447,517.781,0.055663953,-132.303,0.365201061,385.478,-0.020555533,0.182632,0.11354,0.171611,0.168125,0.092905,0.125017,7.119,0.9663,2.9514,1.6111,3.9136,0.069284264,417800.5076,228.2461794,1.868832065,8.849792472,0.939181432,0.003620604,8.1302796,0.092905438,12.859,59.4660549,15.88983911,3083.789,0.062933299
AJG ,0.440668744,0.296,0.144668744,302.1,0.037431319,0,0,854,0.246715328,1.287380453,4903.94,1.945776296,11.43909494,16.79431507,0.159497116,2520.3,0.180634,2408.7,0.955719557,428.7,0.170098798,0.178394722,195,0.077371741,0.353226926,1.7662,0.338131677,343,0.207746479,-51,0.111111111,292,0.226375472,0.134381,0.039651,0.103208,0.10465,0.114391,0.018951,2.0897,0.1279,1.0282,0.5917,6.7255,0.07837873,183963.5036,30.46766976,0.512474837,51.48920777,1.663551958,0,33.98869697,0.114391144,43,6.704651163,19.61880076,2519.2,0.050971515
MDLZ ,0.33023122,0.296,0.03423122,4475,1.266970618,140,0.261261261,19425,-0.278712265,3.00080289,60345.666,1.723423276,12.11273906,26.0897821,-0.337709566,35015,-0.022201,13076,0.373439954,4982,0.142281879,-0.000200682,3067,0.087591032,-0.1370287,1.3592,0.084323893,3923,-0.132079646,-1610,-0.090909091,2313,-0.158603128,0.090883,0.036229,0.07291,0.05556,0.10387,-0.011396,2.9386,0.3009,1.054,0.7131,2.4366,0.054601736,318318.1818,1319.558945,0.413610215,59.92411155,1.291741215,0.013194345,37.47034201,0.10386977,1177,3.090059473,18.72627965,56021,0.05340089
CNP ,0.206969292,0.296,-0.089030708,1186,0.95709571,—,0,9795,0.066180472,4.123084291,16848,2.260869565,8.068965517,26,-0.016998321,7452,-0.118107,4579,0.614465915,2088,0.280193237,-0.043956044,417,0.055958132,-0.692704495,1.2258,0.024659366,1860,-0.014830508,-1212,-0.069838833,648,0.107692308,0.097853,0.01871,0.053113,0.041246,0.139291,0.016661,0.7545,0.3317,0.8039,0.6414,1.5347,0.04353887,854587.156,173.4147071,0.334365325,227.7377354,1.103026033,#VALUE!,69.48779796,0.139291465,569,1.824253076,15.70385067,18407,0.063678649
HUM ,0.463147119,0.296,0.167147119,9307,0.020504386,0,0,2935,0.493638677,-2.706881903,4494.3159,0.114867758,1.909225106,2.970466557,-0.376950572,39126,0.062283,8141,0.208071359,2354,0.060164596,-0.110691349,1222,0.031232429,-0.138830162,7.6236,-0.094304655,1923,-0.075036075,-410,0.184971098,1513,-0.12694749,0.14453,0.06485,0.118216,0.117253,0.051526,0.124897,4.6354,1.4599,1.8369,1.5749,4.6902,0.082354334,#N/A N/A,311.102782,2.076365856,33.1750876,0.283255301,0,24.910881,0.05152584,105,19.2,9.002359397,11876,0.11108199
WLTW ,0.380635004,0.296,0.084635004,500,0.146788991,26,-0.161290323,2353,-0.006753905,-26.09859155,7684.1269,2.208082443,-108.2271394,19.70288949,-0.117455965,3480,0.009574,—,0,-71,-0.020402299,-1.100282486,-446,-0.12816092,-3.18627451,6.9664,-0.038533731,525,0.195899772,-135,0.216216216,390,0.18902439,-0.213142,-0.028923,-0.078046,-0.085081,-0.060057,#VALUE!,0.7332,0.049,1.0691,0.1406,3.8889,0.065734895,#N/A N/A,-649.3706893,0.225680934,136.4057971,1.666864943,0,57.69985287,-0.060057471,128,-1.6328125,12.74988811,4132,0.078432061
ITW ,0.307264131,0.296,0.011264131,2779,1.359333546,9,-0.446936644,5048,0.265080154,0.734779793,29949.6914,2.024859131,9.698734262,17.72171089,0.17828712,14791,0.019015,5657,0.382462308,3088,0.208775607,0.04500846,2870,0.194036914,0.385803959,3.3262,0.021999631,2072,0.059304703,-382,0.082152975,1690,0.054273238,0.278928,0.153918,0.203652,0.119728,0.167331,0.192614,6.1786,1.0483,3.0026,2.0826,5.4241,0.100941966,246516.6667,505.3035928,0.793242311,47.75780511,1.931481171,0.016226083,32.32168011,0.167331485,213,11.61971831,18.28193687,15595,0.0546988
IR ,0.20806209,0.296,-0.08793791,708.4,-0.389678642,81.5,-0.074914869,3229.4,-0.113435458,1.793412535,16779.7511,1.399677277,11.93693612,17.62023638,0.443712911,11988.3,-0.188993,3454.8,0.288180976,1405.7,0.117255991,0.112984956,1018.6,0.084966175,1.967948718,2.5283,-0.026528569,1195.4,0.007246377,-243.1,0.000823384,952.3,0.008899248,0.144735,0.054578,0.121169,0.117232,0.089412,0.105521,3.7263,0.1638,1.3856,0.5961,4.9173,0.117898579,244659.1837,-449.229928,0.642353092,44.67099166,1.215772378,0.019635812,30.87764254,0.089412177,252,4.253571429,18.96941044,10222.8,0.052716451
FL ,0.293756466,0.296,-0.002243534,851,0.222701149,0,0,135,-0.01459854,-1.308957952,3292.8064,0.585596016,6.019755759,9.544366377,0.504528151,5623,0.113686,1796,0.319402454,547,0.097279033,0.486413043,278,0.049439801,0.644970414,1.8026,0.645458695,497,0.524539877,-152,0.567010309,345,0.506550218,0.134462,0.093508,0.129933,0.138299,0.077717,0.085611,6.5514,1.5529,3.7938,1.6423,3.2697,0.127962717,429892.9664,-252.6141165,1.891355533,6.398104265,0.719423795,0,6.013363029,0.077716521,13,33.61538462,14.66777544,1969,0.068176664
IPG ,0.633100405,0.296,0.337100405,2590.8,0.118846087,484.7,-0.031568432,2449.5,0.384524079,-0.171065375,4944.25,0.710768811,5.985774818,26.29920213,0.142456735,6956.2,-0.008325,—,0,826,0.118742992,-0.014437418,435.1,0.062548518,-0.164394085,0.8209,-0.082485749,357.2,0.306032907,-169.2,0.20598717,188,0.411411411,0.196022,0.033879,0.115294,0.097892,0.09751,0.149258,1.4378,0.3364,1.1346,0.9202,2.1111,0.100916135,160651.2702,-64.11405102,0.527574373,91.26984127,0.685165751,0,47.71784232,0.097510135,133.5,5.080898876,13.42412688,5192.3,0.07449274
IFF ,0.288314293,0.296,-0.007685707,324.422,2.674962335,3.747,0.251085142,1031.175,0.152233232,1.254698776,6141.9522,2.176881004,10.90380926,31.07394767,0.215856973,2821.446,0.01199,1175.534,0.416642388,563.285,0.199644083,0.119726233,254.134,0.090072254,-0.047709337,4.0026,0.069556155,323.796,0.711485808,-126.14,-0.010332897,197.656,2.201788347,0.215988,0.081823,0.129752,0.142224,0.172471,0.126017,5.3821,0.5151,2.4968,1.308,2.567,0.082165055,494990.5263,76.28268516,0.908418901,82.32572622,1.912822829,0.082834476,45.15310479,0.172471137,41.753,11.6546835,16.62428565,2289.561,0.060152961
JEC ,0.448121742,0.296,0.152121742,1032.457,0.140039067,45.31,3.357987881,528.26,-0.070084303,-0.72348855,4794.4207,0.440106334,6.879669019,24.30865685,0.262018148,10893.778,0.049329,1726.989,0.158529851,696.897,0.063972021,0.134479267,378.954,0.034786279,0.144775835,2.9382,0.095362362,299.805,0.267728022,-102.574,0.038734569,197.231,0.431897547,0.107727,0.058128,0.097381,0.101532,0.054717,0.107727,4.9979,0.591,2.0675,1.2741,2.9228,0.120489638,224151.8107,-159.1042662,1.670996688,14.02044651,0.47372426,0,12.29643186,0.05471683,11.686,51.00744481,13.76006437,4341.157,0.072674079
HBI ,1.006480736,0.296,0.710480736,42.796,0.210807752,0,0,1517.552,-0.25529337,2.766113165,4912.236,1.085404072,9.213592397,9.582737855,0.188204052,4525.721,0.020619,1420.047,0.313772546,533.151,0.117804655,-0.008740323,164.681,0.036387793,-0.38249565,0.6349,0.032525614,553.607,2.191223095,-40.994,-0.545011598,512.613,5.147986903,0.210062,0.042962,#VALUE!,0.156957,0.097247,0.210062,3.5539,0.0489,2.3154,0.627,13.5046,0.088441371,87878.07767,112.1274023,1.18066871,171.1140127,0.762937181,0.010677415,63.11514886,0.097247488,#N/A N/A,#N/A N/A,13.77274886,2419.358,0.072607147
K ,0.106799378,0.296,-0.189200622,281,-0.389130435,61,29.5,7902,0.310013263,3.791542289,27670.8552,1.949063549,13.76659463,22.58845322,0.170374232,14197,0.075693,5434,0.38275692,2010,0.141579207,0.119153675,961,0.067690357,0.109699769,3.6187,0.496876939,1758,0.102194357,-533,-0.102693603,1225,0.223776224,0.457619,0.070891,0.126449,0.151402,0.110023,0.161429,4.2615,0.0621,0.7473,0.3228,3.2983,0.051928344,457967.7419,755.3996894,1.047285335,320.5679513,1.395234204,0.014510108,76.2226295,0.110023244,261,5.98467433,15.28992832,10419,0.06540253
PRGO ,0.032616557,0.296,-0.263383443,602.5,0.942896577,1.6,-0.176531137,1369.3,0.533765696,1.088431512,11794.855,3.717022249,16.74216466,29.997088,0.379430003,3173.2,0.151797,1095.6,0.345266608,704.5,0.222015631,0.187826673,401.6,0.126559939,0.183962264,4.7722,0.298451827,513.4,0.372727273,-120.2,0.209255533,393.2,0.431900947,0.23763,0.111351,0.159862,0.153556,0.179377,0.220082,6.3835,0.9231,2.7515,1.8004,4.2712,0.075257256,360590.9091,203.2773248,0.879828859,73.91233941,3.463719904,0.033341737,42.49976722,0.179377285,64.7,8.797527048,24.71176937,3248.3,0.040466548
BR ,0.191570829,0.296,-0.104429171,320.5,0.327122153,0,0,524.4,0.00019073,0.665687235,2858.396,1.240892555,9.332014365,11.41531949,-0.123261066,2303.5,0.063039,588.4,0.255437378,306.3,0.132971565,-0.130076683,123.6,0.053657478,-0.271226415,1.5525,0.016899194,284.2,0.326178255,-33.8,0.157534247,250.4,0.35278228,0.150018,0.063521,0.097812,0.091773,0.093032,0.054367,5.5469,0.7811,1.8947,1.6846,8.4083,0.083179688,371532.2581,4.801058085,1.183831843,61.65784832,1.145911439,0,38.14095571,0.093032342,13.3,16.11278195,13.70005069,1487.2,0.072992431
KMB ,0.21022402,0.296,-0.08577598,1106,0.447643979,851,0.029020556,6185,0.008643183,1.570500928,38798.599,1.993044588,11.99709307,17.67589932,0.099026641,19467,-0.066152,6129,0.314840499,3234,0.166127292,-0.084630626,1750,0.089895721,0.099937146,4.7381,-0.013471308,3288,0.437062937,-1093,0.129132231,2195,0.662878788,0.341997,0.089181,0.16706,0.154794,0.122104,0.085162,3.8836,0.1816,1.0818,0.6153,3.0082,0.057234229,#N/A N/A,932.0649219,0.992050145,105.9801234,1.704473725,0.017208609,51.45162632,0.122104074,285,8.340350877,17.81947686,12101,0.05611837
KIM ,0.02714251,0.296,-0.26885749,141.875,0.256843429,1223.396,0.113361381,4195.317,0.019670498,8.177900891,13155.1882,16.58134093,26.5408572,-161.3341697,0.123510399,793.373,-0.025911,—,0,495.658,0.624747754,0.013783469,172.673,0.21764416,0.574219605,0.1987,0.153890825,479.054,0.067855813,-560.594,0.444260382,-81.54,-2.348660271,0.045046,0.027459,0.030634,0.040604,0.293577,-0.145921,—,—,—,—,0.8545,0.078734186,1249406.299,-559.1901017,0.081875455,83.67946823,9.886726722,#VALUE!,45.55733367,0.293576918,223.736,1.0410305,97.21097095,9118.648,0.010286905
ORCL ,0.208776192,0.296,-0.087223808,30676,0.063366611,399,-0.149253731,16474,0.034669011,-0.854409818,116032.35,3.12578729,6.98064914,8.860813288,-0.279167678,37121,0.042081,29263,0.788313892,16622,0.447778885,0.120911727,9981,0.268877455,0.167778168,2.0099,0.145242165,13743,0.225521669,-648,0.44,13095,0.216555184,0.239169,0.131448,0.181119,0.182185,0.369225,0.210294,5.5837,1.9935,2.6009,2.4079,21.2083,0.107347938,322791.3043,4514.96005,0.48887806,37.36702429,3.576063414,0.121844778,27.20232493,0.369224967,766,17.89295039,13.16984221,60337,0.075931054
KSS ,-0.114304618,0.296,-0.410304618,1205,-0.470794906,0,0,4244,0.061530765,1.035081744,14571.43,0.774911189,4.963021117,12.02263201,-0.123269876,18804,0.022457,7179,0.381780472,2936,0.156136992,0.033075299,1167,0.062061264,0.041964286,4.3,0.174863388,2139,0.222285714,-927,0.157303371,1212,0.277133825,0.162557,0.080491,#VALUE!,0.126596,0.114763,0.124808,3.959,0.4622,1.8523,0.4622,2.3074,0.073047893,626800,795.4470629,1.296961755,65.21204671,0.670405233,0,39.47172619,0.114762816,#N/A N/A,#N/A N/A,10.85813953,10251,0.092096809
KR ,0.051580438,0.296,-0.244419562,188,-0.772121212,-15,-8.5,8165,0.034591992,2.735596708,21594.3,0.238943723,7.405452675,28.41355263,0.065396077,90374,0.101464,18880,0.208909642,2916,0.032265917,-0.228979376,602,0.006661208,-0.460573477,1.0233,0.147068714,2658,-0.210338681,-1898,-0.0109432,760,-0.474775397,0.129783,0.025627,0.071367,0.06853,0.014141,0.074593,5.1056,0.0206,0.8045,0.1249,1.4004,0.056598983,266589.9705,122.1318203,3.847257402,205.874937,0.15864076,0,67.30689968,0.014141235,435,2.937931034,11.87289842,12968,0.084225432
LEG ,0.115066797,0.296,-0.180933203,359.1,0.519678375,7.7,-0.266666667,1055.4,0.262742283,1.570365359,4571.962,1.338984332,10.31114569,12.07278057,0.196292509,3414.5,-0.060919,695.6,0.203719432,443.4,0.129857959,0.162863887,248.2,0.072689999,0.619047619,1.3696,0.166212534,449.7,0.367284889,-71,-0.053333333,378.7,0.491532099,0.181718,0.080454,0.123028,0.113178,0.095007,0.051465,5.2436,0.4912,1.8319,1.1016,6.3338,0.097027639,186584.6995,14.22251895,1.106807131,73.1798641,1.150349207,0,42.2565663,0.09500659,43.4,7.474654378,19.87450295,2530.2,0.050315724
LEN ,0.001533953,0.296,-0.294466047,1251.612,0.129460813,578.348,-0.03361756,4605.653,0.107426545,9.739445433,11218.857,2.732885812,32.577254,-26.24478209,0.576192632,4105.132,0.32621,443.634,0.108068145,344.377,0.083889385,1.755611212,668.196,0.162770893,6.342571124,2.9451,8.86963807,-424.648,0.638713412,-2.822,-0.715982287,-427.47,0.588688487,0.218678,0.069594,0.089445,0.093712,0.077049,0.208731,2.1118,2.5777,13.9971,3.5874,-150.4777,0.090333206,869362.9818,387.5619982,0.420675091,115.1065628,1.729694071,0,53.51141374,0.077048923,94.353,3.352262249,12.66292615,9077.254,0.078970689
JEF ,0.775524395,0.296,0.479524395,3502.952,9.993964692,242.016,0.009350472,1358.695,-0.287037756,-1.364174357,3916.3788,0.417309064,2.491596637,6.914205411,-0.469947431,9384.84,14.35734,1905.094,0.202996961,1571.835,0.167486606,6.481116764,854.466,0.091047477,32.86572074,3.6541,19.19955777,645.439,-2.159253984,-79.014,0.694924707,566.425,-1.938739354,0.132049,0.091817,0.110565,0.090832,0.14936,0.122842,4.4938,3.5703,5.7166,4.6682,8.1687,0.126476405,857611.2583,-709.5630935,1.008455319,19.38421956,0.620003066,0.001873234,16.23683568,0.149360245,92.581,15.14049319,6.51055742,9582.594,0.153596679
LLY ,0.009787738,0.296,-0.286212262,5684.3,-0.175842021,8.7,-2.426229508,5531.3,-0.208344068,-0.024691757,56260.1728,2.489013724,9.079493383,12.78814675,0.167184903,22603.4,-0.069302,17806.9,0.787797411,6196.4,0.274135749,-0.102244245,4088.6,0.180884292,-0.059594728,3.7785,-0.130199581,5304.8,-0.26673578,-905.4,0.347321429,4399.4,-0.329615238,0.288877,0.120149,0.20687,0.171261,0.209446,0.134391,3.9872,0.6775,1.5542,1.0739,5.8591,0.071288526,589397.6532,1726.950257,0.664232493,37.43967402,2.428923921,0.233509118,27.24080531,0.209446366,177.8,26.62654668,13.05293,21605.2,0.076611152
LB ,0.116473301,0.296,-0.179526699,935,-0.172566372,1,0,3538,0.411248504,1.59791283,14834.7,1.431368198,9.106629834,17.66035714,0.39145059,10364,0.078123,4057,0.391451177,1629,0.157178695,-0.02920143,850,0.082014666,0.055900621,2.3828,0.003410957,1266,-0.014018692,-426,0.554744526,840,-0.168316832,1.053937,0.135361,0.266427,0.212046,0.119452,-0.364538,4.8523,0.6127,1.5518,0.7556,2.9718,0.098700041,#N/A N/A,444.9341532,1.650449877,2563.768116,1.216117329,#VALUE!,96.24591948,0.119451949,246,5.032520325,17.39967593,3857,0.057472335
CHTR ,0.881886357,0.296,0.585886357,7,2.5,0,0,12808,-0.003733665,4.871004566,20514.6771,2.733832236,7.806193721,156.6005885,0.104098362,7504,0.041644,2644,0.352345416,2628,0.35021322,-0.001898975,-304,-0.040511727,-0.176151762,-2.8615,0.037000797,1876,0.080023028,-1745,0.331045004,131,-0.692488263,-1.089606,-0.019487,#VALUE!,0.024478,0.121935,#VALUE!,1.2451,0.0057,0.2721,0.1969,1.0751,0.048679793,#N/A N/A,26.57440319,0.481025641,8595.973154,1.012516669,0,98.85004245,0.121934968,#N/A N/A,#N/A N/A,#N/A N/A,12971,-0.033936897
LNC ,0.930587053,0.296,0.634587053,4230,-0.062084257,0,0,5639,-0.009137234,0,8438.327,0.731541136,0,6.649587864,0.233958702,11535,0.084015,—,0,—,0,0,1313,0.113827482,4.941176471,4.4077,0.871475883,1269,-0.005485893,0,0,1269,-0.005485893,0.090126,0.006226,0.075958,0.079461,0.159601,0.083045,—,—,—,—,—,0.100450248,1325862.069,-4534.090172,0.05469741,37.66112336,0.630151134,#VALUE!,27.3578498,#VALUE!,273,#N/A N/A,5.876147153,210965,0.170179537
L ,0.169920094,0.296,-0.126079906,228,0.76744186,5217,0.177386594,9210,0.023219642,0,30165.0605,2.143622833,0,20.81784714,0.068926367,14072,-0.004034,—,0,—,0,0,568,0.040363843,-0.465160075,2.3612,-0.081495313,2854,-0.280201765,-1405,0.639439907,1449,-0.533783784,0.029714,0.007315,0.043211,0.057363,0.173962,0.026679,—,—,—,—,2.0313,0.070095225,768961.7486,-931.2939688,0.181236276,37.32371535,1.144196987,#VALUE!,27.17936611,#VALUE!,426,#N/A N/A,17.25827614,75043,0.057943215
LOW ,0.26800019,0.296,-0.02799981,1300,0.157613535,0,0,7668,0.166590598,1.311367381,40123.2,0.799139579,8.262602965,15.92190476,0.038842141,50208,0.028536,17350,0.34556246,4856,0.096717655,-0.073989321,1839,0.036627629,-0.085074627,1.6281,0.120972184,4349,0.129023884,-1829,0.376222724,2520,-0.001189061,0.106163,0.054685,0.085411,0.084692,0.065268,0.067369,3.7583,0.1647,1.2764,0.1647,2.3778,0.083054415,311850.9317,258.0554699,1.492997116,46.37996734,0.688559592,#VALUE!,31.68464113,0.065268483,393,8.338422392,16.70643658,24396,0.059857169
HST ,0.292292506,0.296,-0.003707494,417,-0.495157385,192,-0.010309278,5411,-0.059447245,4.474910394,16540.482,3.26951611,14.82122043,-516.8900625,0.064701245,5059,0.027417,—,0,1116,0.220596956,0.137614679,61,0.012057719,-5.066666667,-0.0473,0.819230769,781,0.181543116,-813,-0.408296943,-32,-0.955119215,0.009036,0.004677,0.00503,-0.010108,0.071556,#VALUE!,—,—,—,—,0.9606,0.097905976,21712446.35,-1237.575475,0.387900629,77.11272624,2.224588654,#VALUE!,43.53878339,0.071555643,373,0.970509383,#N/A N/A,12428,-0.003021123
MMC ,0.406177935,0.296,0.110177935,2301,0.088973024,64,0.122807018,2918,-0.003415301,0.28328742,19484.6561,1.634070455,8.946123095,19.44576457,0.087263555,11924,0.034531,—,0,2178,0.182656827,0.105583756,1176,0.098624623,0.18429003,2.1901,0.168738994,1322,-0.224633431,-320,0.142857143,1002,-0.296842105,0.189296,0.074097,0.144573,0.132128,0.153388,0.109499,4.8095,0.6456,1.6731,1.5036,4.1313,0.082981105,220814.8148,131.6239288,0.751307416,44.17196488,1.572599799,0,30.63838723,0.153388125,181,10.10497238,15.73933793,9740,0.063535074
MAS ,0.368704789,0.296,0.072704789,1351,-0.184178744,212,-0.013953488,3628,-0.09863354,4.412790698,8303.34,1.107850567,16.09174419,51.25518519,0.332801069,7495,0.00375,1956,0.260973983,516,0.068845897,-17.125,-114,-0.01521014,-0.80173913,0.1483,-1.542230347,281,0.175732218,-119,-0.21192053,162,0.840909091,-0.268551,-0.016088,-0.031724,-0.008971,0.040294,#VALUE!,2.6281,0.7256,1.7277,1.2266,2.3613,0.097328563,249833.3333,-363.0809284,1.057719447,679.4007491,0.775762508,0,87.16962999,0.040293529,254,1.188976378,112.3330344,4193,0.008902101
MAT ,0.287902714,0.296,-0.008097286,1335.711,-0.024396818,0,0,1509.844,-0.030920054,0.145681785,12709.159,1.979348161,10.63263691,12.02833139,0.331635133,6420.881,0.024712,3409.197,0.530954709,1195.297,0.186157787,-0.005906525,784.146,0.122124363,0.008842453,2.5176,0.14011412,1275.65,0.919156663,-219.048,0.147364782,1056.602,1.230157943,0.276222,0.127306,0.19426,0.212896,0.159015,0.127084,5.7489,0.7784,2.0727,1.4933,5.8236,0.082841458,229317.1786,686.1387888,1.052739522,49.2279863,1.948606788,0.030380566,32.98844105,0.159014783,88.835,11.49338662,14.54569142,4351.052,0.06874888
SPGI ,0.389385515,0.296,0.093385515,761,-0.119212963,883,10.61842105,1256,0.048414023,0.36612426,16630.93,3.73728764,12.30098373,14.21447009,0.297090406,4450,0.125443,2964,0.666067416,1352,0.303820225,0.123857024,437,0.098202247,-0.520307355,3.0168,0.462974638,1267,0.371212121,-97,0.054347826,1170,0.40625,0.384176,0.063926,#VALUE!,0.268846,0.272135,-0.179206,5.628,0.2075,1.0633,0.4677,13.0619,0.09303569,205192.0505,621.1074122,0.650965477,76.12121212,3.422710562,0,43.22092223,0.272134831,#N/A N/A,#N/A N/A,18.1217068,3138,0.05518244
